Date,Visitor Team,VisitorPts,Home Team,HomePts,OT?,Score Type,Notes
2013-10-29,Orlando Magic,87,Indiana Pacers,97,,Box Score,
2013-10-29,Chicago Bulls,95,Miami Heat,107,,Box Score,
2013-10-29,Los Angeles Clippers,103,Los Angeles Lakers,116,,Box Score,
2013-10-30,Brooklyn Nets,94,Cleveland Cavaliers,98,,Box Score,
2013-10-30,Boston Celtics,87,Toronto Raptors,93,,Box Score,
2013-10-30,Miami Heat,110,Philadelphia 76ers,114,,Box Score,
2013-10-30,Washington Wizards,102,Detroit Pistons,113,,Box Score,
2013-10-30,Milwaukee Bucks,83,New York Knicks,90,,Box Score,
2013-10-30,Indiana Pacers,95,New Orleans Pelicans,90,,Box Score,
2013-10-30,Orlando Magic,115,Minnesota Timberwolves,120,OT,Box Score,
2013-10-30,Charlotte Bobcats,83,Houston Rockets,96,,Box Score,
2013-10-30,Memphis Grizzlies,94,San Antonio Spurs,101,,Box Score,
2013-10-30,Atlanta Hawks,109,Dallas Mavericks,118,,Box Score,
2013-10-30,Oklahoma City Thunder,101,Utah Jazz,98,,Box Score,
2013-10-30,Portland Trail Blazers,91,Phoenix Suns,104,,Box Score,
2013-10-30,Denver Nuggets,88,Sacramento Kings,90,,Box Score,
2013-10-30,Los Angeles Lakers,94,Golden State Warriors,125,,Box Score,
2013-10-31,New York Knicks,81,Chicago Bulls,82,,Box Score,
2013-10-31,Golden State Warriors,115,Los Angeles Clippers,126,,Box Score,
2013-11-01,Cleveland Cavaliers,84,Charlotte Bobcats,90,,Box Score,
2013-11-01,New Orleans Pelicans,90,Orlando Magic,110,,Box Score,
2013-11-01,Philadelphia 76ers,109,Washington Wizards,102,,Box Score,
2013-11-01,Toronto Raptors,95,Atlanta Hawks,102,,Box Score,
2013-11-01,Milwaukee Bucks,105,Boston Celtics,98,,Box Score,
2013-11-01,Miami Heat,100,Brooklyn Nets,101,,Box Score,
2013-11-01,Dallas Mavericks,105,Houston Rockets,113,,Box Score,
